"" "ensembl_gene_id" "entrezgene_id"
"715" "ENSG00000180913" NA
"716" "ENSG00000248601" NA
"717" "ENSG00000254444" NA
"718" "ENSG00000286986" NA
"719" "ENSG00000109511" 11199
"720" "ENSG00000255307" 255725
"721" "ENSG00000255143" NA
"722" "ENSG00000180909" NA
"723" "ENSG00000254902" NA
"724" "ENSG00000225603" NA
"725" "ENSG00000270401" NA
"726" "ENSG00000146070" 7941
"727" "ENSG00000269373" NA
"728" "ENSG00000227242" NA
"729" "ENSG00000105479" 93233
"730" "ENSG00000180919" 196335
"731" "ENSG00000271620" NA
"732" "ENSG00000271704" NA
"733" "ENSG00000131620" 55107
"734" "ENSG00000182986" 162967
"735" "ENSG00000224675" 100144595
"736" "ENSG00000260781" NA
"737" "ENSG00000269110" NA
"738" "ENSG00000255229" NA
"739" "ENSG00000213903" 1241
"740" "ENSG00000273753" NA
"741" "ENSG00000254559" NA
"742" "ENSG00000230251" NA
"743" "ENSG00000231205" NA
"744" "ENSG00000230832" NA
"745" "ENSG00000250020" NA
"746" "ENSG00000269095" NA
"747" "ENSG00000261037" NA
"748" "ENSG00000011451" 58525
"749" "ENSG00000237093" 285834
"750" "ENSG00000261607" NA
"751" "ENSG00000259861" NA
"752" "ENSG00000198555" NA
"753" "ENSG00000130307" 83878
"754" "ENSG00000160229" 7617
"755" "ENSG00000121060" 7706
"756" "ENSG00000196943" 161424
"757" "ENSG00000234495" 5987
"758" "ENSG00000214904" NA
"759" "ENSG00000204117" NA
"760" "ENSG00000137441" 83888
"761" "ENSG00000242697" NA
"762" "ENSG00000234674" 6941
"763" "ENSG00000254044" NA
"764" "ENSG00000238184" NA
"765" "ENSG00000270318" NA
"766" "ENSG00000258923" NA
"767" "ENSG00000268174" NA
"768" "ENSG00000251620" NA
"769" "ENSG00000259842" NA
"770" "ENSG00000186019" NA
"771" "ENSG00000239382" 84964
"772" "ENSG00000236264" NA
"773" "ENSG00000269043" NA
"774" "ENSG00000124508" 10385
"775" "ENSG00000259012" NA
"776" "ENSG00000284500" NA
"777" "ENSG00000205452" NA
"778" "ENSG00000267680" 7767
"779" "ENSG00000250293" NA
"780" "ENSG00000237440" 100129842
"781" "ENSG00000163116" 285555
"782" "ENSG00000103832" NA
"783" "ENSG00000242779" NA
"784" "ENSG00000260525" NA
"785" "ENSG00000282421" NA
"786" "ENSG00000280250" NA
"787" "ENSG00000183706" 283694
"788" "ENSG00000159461" 267
"789" "ENSG00000251010" NA
"790" "ENSG00000285472" NA
"791" "ENSG00000269779" NA
"792" "ENSG00000242973" NA
"793" "ENSG00000142227" 2014
"794" "ENSG00000232956" NA
"795" "ENSG00000283680" NA
"796" "ENSG00000268335" NA
"797" "ENSG00000285135" NA
"798" "ENSG00000286172" NA
"799" "ENSG00000268560" NA
"800" "ENSG00000283342" NA
"801" "ENSG00000285627" NA
"802" "ENSG00000258721" NA
"803" "ENSG00000269040" NA
"804" "ENSG00000006831" 79602
"805" "ENSG00000235519" NA
"806" "ENSG00000079313" 57455
"807" "ENSG00000256294" 7768
"808" "ENSG00000268461" NA
"809" "ENSG00000274102" 390538
"810" "ENSG00000263234" NA
"811" "ENSG00000280171" NA
"812" "ENSG00000271618" NA
"813" "ENSG00000262097" NA
"814" "ENSG00000167302" 146705
"815" "ENSG00000231985" NA
"816" "ENSG00000284892" NA
"817" "ENSG00000242276" NA
"818" "ENSG00000283209" NA
"819" "ENSG00000268225" NA
"820" "ENSG00000229956" NA
"821" "ENSG00000278913" NA
"822" "ENSG00000284650" NA
"823" "ENSG00000262112" NA
"824" "ENSG00000283695" NA
"825" "ENSG00000233444" NA
"826" "ENSG00000213801" NA
"827" "ENSG00000214226" 339210
"828" "ENSG00000092445" 7301
"829" "ENSG00000261856" NA
"830" "ENSG00000129460" 25983
"831" "ENSG00000198885" 150771
"832" "ENSG00000223944" NA
"833" "ENSG00000184349" 1946
"834" "ENSG00000221874" 100529240
"835" "ENSG00000227758" NA
"836" "ENSG00000225084" NA
"837" "ENSG00000231781" NA
"838" "ENSG00000183747" 123876
"839" "ENSG00000276387" 3802
"840" "ENSG00000276387" 112267928
"841" "ENSG00000278941" NA
"842" "ENSG00000274658" 100510707
"843" "ENSG00000262810" NA
"844" "ENSG00000271500" NA
"845" "ENSG00000262402" NA
"846" "ENSG00000269526" 147664
